,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
995,6,600,1500,L2-LogReg,1.5963288380000904,0.015426192999939303
996,6,600,2000,L2-LS,1.194393787000081,0.018075427999974636
997,6,600,2000,L1-LS,1.917606891000105,0.018435144000022774
998,6,600,2000,L2-LogReg,3.2619199079999817,0.01920840799994039
999,6,600,2000,L2-LogReg,2.0736687460000667,0.024254370999869934
1000,6,600,2500,L2-LS,1.4378844099999242,0.022867019999921467
1001,6,600,2500,L1-LS,2.465617519999796,0.023083850999910283
1002,6,600,2500,L2-LogReg,4.04803726199998,0.0231216659999518
1003,6,600,2500,L2-LogReg,2.5439628479998646,0.023576042000058806
1004,6,600,3000,L2-LS,1.5763315420001618,0.026270531999898594
1005,6,600,3000,L1-LS,2.595084652999958,0.026254195999854346
1006,6,600,3000,L2-LogReg,4.778137658000105,0.02758634700012408
1007,6,600,3000,L2-LogReg,3.2072381599998607,0.026891387999967264
1008,7,100,500,L2-LS,0.2500804100000096,0.004535993999979837
1009,7,100,500,L1-LS,0.4374352429999817,0.004536935000032827
1010,7,100,500,L2-LogReg,0.4859603539998716,0.004661907999889081
1011,7,100,500,L2-LogReg,0.5319186799999898,0.004593314999965514
1012,7,100,1000,L2-LS,0.5074238639999749,0.00884519300007014
1013,7,100,1000,L1-LS,0.8332199050000781,0.008491678999916985
1014,7,100,1000,L2-LogReg,1.3663927860000058,0.009166980999907537
1015,7,100,1000,L2-LogReg,1.0707767349999813,0.009102782999889314
1016,7,100,1500,L2-LS,0.7976916080001502,0.015926203999924837
1017,7,100,1500,L1-LS,1.3207066549998672,0.012529367000070124
1018,7,100,1500,L2-LogReg,2.0584451440001885,0.013873154000066279
1019,7,100,1500,L2-LogReg,1.584962828000016,0.01540878600008
1020,7,100,2000,L2-LS,0.9858283759999722,0.018229129000019384
1021,7,100,2000,L1-LS,1.7086076459997912,0.017130659999793352
1022,7,100,2000,L2-LogReg,2.299209362000056,0.018025506999947538
1023,7,100,2000,L2-LogReg,2.1543314360001204,0.01757659899999453
1024,7,100,2500,L2-LS,1.2641499579999618,0.02273337199994785
1025,7,100,2500,L1-LS,2.1659356659999958,0.02024028999994698
1026,7,100,2500,L2-LogReg,2.541994989999921,0.021497490999990987
1027,7,100,2500,L2-LogReg,2.636666410999851,0.021240022000029057
1028,7,100,3000,L2-LS,1.495079996999948,0.027154354999993302
1029,7,100,3000,L1-LS,2.6127381539999988,0.02541955199990298
1030,7,100,3000,L2-LogReg,2.2204637239999556,0.02587823500016384
1031,7,100,3000,L2-LogReg,3.0666793949999374,0.02552120899986221
1032,7,200,500,L2-LS,0.24939115100005438,0.004601292999950601
1033,7,200,500,L1-LS,0.4190138129999923,0.004487096000048041
1034,7,200,500,L2-LogReg,0.705347035999921,0.0047999590001381875
1035,7,200,500,L2-LogReg,0.5162602000000334,0.004636077999975896
1036,7,200,1000,L2-LS,0.5005153669999345,0.00858939900012956
1037,7,200,1000,L1-LS,0.7969335620000493,0.008581031000176154
