,experiment,algorithm,step size,loss
110,1,proximal point,13.459603241553642,0.0222577513523155
111,1,SGD,13.459603241553642,0.020573502196680055
112,1,proximal point,16.81924324880869,0.02225738539341829
113,1,SGD,16.81924324880869,0.020555260974122212
114,1,proximal point,21.017480113324872,0.022251922670386306
115,1,SGD,21.017480113324872,0.020573933214927093
116,1,proximal point,26.26363527653333,0.022141124070541564
117,1,SGD,26.26363527653333,0.020668245929856492
118,1,proximal point,32.81927872511474,0.021726248171941374
119,1,SGD,32.81927872511474,0.021075644848724186
120,1,proximal point,41.011270705513,0.02144769528004178
121,1,SGD,41.011270705513,2.6265004570541874
122,1,proximal point,51.248058769609315,0.021143304048981838
123,1,SGD,51.248058769609315,7.936652097199856e+18
124,1,proximal point,64.04004271197276,0.020848062919627763
125,1,SGD,64.04004271197276,inf
126,1,proximal point,80.02502278161052,0.020696579140870006
127,1,SGD,80.02502278161052,
128,1,proximal point,100.0,0.020622196234586623
129,1,SGD,100.0,
130,1,proximal point,114.37171936035156,0.02058202167590797
131,1,SGD,114.37171936035156,
132,2,proximal point,0.1,0.022257800956287283
133,2,SGD,0.1,0.02225780039100191
134,2,proximal point,0.1249609141291987,0.02225780095419638
135,2,SGD,0.1249609141291987,0.022257800389585282
136,2,proximal point,0.15615230060004973,0.02225780095154463
137,2,SGD,0.15615230060004973,0.022257800386334382
138,2,proximal point,0.19512934226359632,0.022257800948155642
139,2,SGD,0.19512934226359632,0.02225780038319881
140,2,proximal point,0.24383540982688284,0.0222578009438088
141,2,SGD,0.24383540982688284,0.02225780037268887
142,2,proximal point,0.30469895709035083,0.022257800938201712
143,2,SGD,0.30469895709035083,0.022257800363450042
144,2,proximal point,0.3807546021222372,0.02225780093089692
145,2,SGD,0.3807546021222372,0.02225780034271702
146,2,proximal point,0.475794431400941,0.022257800921292127
147,2,SGD,0.475794431400941,0.02225780030999067
148,2,proximal point,0.5945570708544391,0.022257800908489188
149,2,SGD,0.5945570708544391,0.02225780025472104
150,2,proximal point,0.7429639507594948,0.022257800891145898
151,2,SGD,0.7429639507594948,0.022257800151140147
152,2,proximal point,0.9284145445194745,0.022257800867159075
153,2,SGD,0.9284145445194745,0.0222577999871457
154,2,proximal point,1.1601553017399715,0.022257800833124456
155,2,SGD,1.1601553017399715,0.022257799671352767
156,2,proximal point,1.4497406703726314,0.022257800783210553
157,2,SGD,1.4497406703726314,0.022257798953973906
158,2,proximal point,1.8116091942004142,0.022257800706917793
159,2,SGD,1.8116091942004142,0.022257796996698016
160,2,proximal point,2.2638034095214477,0.02225780058401014
161,2,SGD,2.2638034095214477,0.022257789194240103
162,2,proximal point,2.8288694346259695,0.022257799906380653
163,2,SGD,2.8288694346259695,0.022257800849926027
164,2,proximal point,3.5349811050301057,0.02225779992245621
165,2,SGD,3.5349811050301057,0.022257685697176566
166,2,proximal point,4.417344703140069,0.0222577956190484
167,2,SGD,4.417344703140069,0.022247256863968504
168,2,proximal point,5.5199543212815705,0.022257790662635578
169,2,SGD,5.5199543212815705,0.021616614846918764
170,2,proximal point,6.8977853793876545,0.022257777148255265
171,2,SGD,6.8977853793876545,0.02104002243065224
172,2,proximal point,8.619535664753032,0.022257731276039215
173,2,SGD,8.619535664753032,0.020790205475039694
174,2,proximal point,10.77105056036769,0.02225752486109089
175,2,SGD,10.77105056036769,0.020648740994309626
176,2,proximal point,13.459603241553642,0.022256190427067512
177,2,SGD,13.459603241553642,0.020577974159771112
178,2,proximal point,16.81924324880869,0.022242807232192466
179,2,SGD,16.81924324880869,0.020561855881748487
180,2,proximal point,21.017480113324872,0.02207605783450987
181,2,SGD,21.017480113324872,0.020575865402346245
182,2,proximal point,26.26363527653333,0.02160752925907182
183,2,SGD,26.26363527653333,0.020655148230576015
184,2,proximal point,32.81927872511474,0.021239054120889903
185,2,SGD,32.81927872511474,0.0215544512762488
186,2,proximal point,41.011270705513,0.02099869503966579
187,2,SGD,41.011270705513,1.242284409408077
188,2,proximal point,51.248058769609315,0.02084787244250737
189,2,SGD,51.248058769609315,3.7593609452883077e+18
190,2,proximal point,64.04004271197276,0.020736285667700825
191,2,SGD,64.04004271197276,inf
192,2,proximal point,80.02502278161052,0.02066245818032198
193,2,SGD,80.02502278161052,
194,2,proximal point,100.0,0.020611159174098895
195,2,SGD,100.0,
196,2,proximal point,114.37171936035156,0.020585410729466957
197,2,SGD,114.37171936035156,
198,3,proximal point,0.1,0.02225780082253211
199,3,SGD,0.1,0.022257801131877385
200,3,proximal point,0.1249609141291987,0.022257800818874
201,3,SGD,0.1249609141291987,0.022257801131877933
202,3,proximal point,0.15615230060004973,0.0222578008142332
203,3,SGD,0.15615230060004973,0.022257801131878113
204,3,proximal point,0.19512934226359632,0.022257800808330497
205,3,SGD,0.19512934226359632,0.022257801132044914
206,3,proximal point,0.24383540982688284,0.0222578008007779
207,3,SGD,0.24383540982688284,0.022257801131838822
208,3,proximal point,0.30469895709035083,0.022257800791062838
209,3,SGD,0.30469895709035083,0.022257801131622183
210,3,proximal point,0.3807546021222372,0.022257800778474186
211,3,SGD,0.3807546021222372,0.02225780113073597
212,3,proximal point,0.475794431400941,0.02225780076200429
213,3,SGD,0.475794431400941,0.0222578011312371
214,3,proximal point,0.5945570708544391,0.02225780074021061
215,3,SGD,0.5945570708544391,0.02225780113112596
216,3,proximal point,0.7429639507594948,0.022257800710947323
217,3,SGD,0.7429639507594948,0.022257801130176814
218,3,proximal point,0.9284145445194745,0.02225780067092536
219,3,SGD,0.9284145445194745,0.022257801128599205
220,3,proximal point,1.1601553017399715,0.022257800614895618
221,3,SGD,1.1601553017399715,0.022257801128157916
222,3,proximal point,1.4497406703726314,0.02225780053410781
223,3,SGD,1.4497406703726314,0.02225780112825196
224,3,proximal point,1.8116091942004142,0.02225780041316639
225,3,SGD,1.8116091942004142,0.0222578011243726
226,3,proximal point,2.2638034095214477,0.02225780022326694
227,3,SGD,2.2638034095214477,0.022257801095696233
228,3,proximal point,2.8288694346259695,0.0222578004449565
229,3,SGD,2.8288694346259695,0.022257791075389468
230,3,proximal point,3.5349811050301057,0.02225778473527644
231,3,SGD,3.5349811050301057,0.02225665003797367
232,3,proximal point,4.417344703140069,0.02225779912632808
233,3,SGD,4.417344703140069,0.022248538759389157
234,3,proximal point,5.5199543212815705,0.022257797280190287
235,3,SGD,5.5199543212815705,0.021655729329588213
236,3,proximal point,6.8977853793876545,0.022257792207655107
237,3,SGD,6.8977853793876545,0.021069454157530344
238,3,proximal point,8.619535664753032,0.022257774882746516
239,3,SGD,8.619535664753032,0.02079990538876773
240,3,proximal point,10.77105056036769,0.022257696655852727
241,3,SGD,10.77105056036769,0.020657894015545027
242,3,proximal point,13.459603241553642,0.022257191306147665
243,3,SGD,13.459603241553642,0.020584352064691485
244,3,proximal point,16.81924324880869,0.02225206552773026
245,3,SGD,16.81924324880869,0.020561231438239336
246,3,proximal point,21.017480113324872,0.02217254652521406
247,3,SGD,21.017480113324872,0.020569506893493236
248,3,proximal point,26.26363527653333,0.021739050777476843
249,3,SGD,26.26363527653333,0.0206693361992031
250,3,proximal point,32.81927872511474,0.021331723637664255
251,3,SGD,32.81927872511474,0.02129088859520998
252,3,proximal point,41.011270705513,0.02106179327586296
253,3,SGD,41.011270705513,0.8956554113688351
254,3,proximal point,51.248058769609315,0.020885621704619415
255,3,SGD,51.248058769609315,3.3405552771259633e+18
256,3,proximal point,64.04004271197276,0.020767923236355353
257,3,SGD,64.04004271197276,inf
258,3,proximal point,80.02502278161052,0.02067604063764221
259,3,SGD,80.02502278161052,
260,3,proximal point,100.0,0.020617664338080443
261,3,SGD,100.0,
262,3,proximal point,114.37171936035156,0.020580282820514738
263,3,SGD,114.37171936035156,
264,4,proximal point,0.1,0.022257800821787427
265,4,SGD,0.1,0.0222578008082859
266,4,proximal point,0.1249609141291987,0.022257800817810126
267,4,SGD,0.1249609141291987,0.022257800807834245
268,4,proximal point,0.15615230060004973,0.022257800812766786
269,4,SGD,0.15615230060004973,0.022257800807449712
270,4,proximal point,0.19512934226359632,0.02225780080633699
271,4,SGD,0.19512934226359632,0.022257800802122984
272,4,proximal point,0.24383540982688284,0.022257800798116154
273,4,SGD,0.24383540982688284,0.022257800797156415
274,4,proximal point,0.30469895709035083,0.022257800787524793
275,4,SGD,0.30469895709035083,0.022257800794494322
276,4,proximal point,0.3807546021222372,0.02225780077378129
277,4,SGD,0.3807546021222372,0.022257800784975187
278,4,proximal point,0.475794431400941,0.022257800755783937
279,4,SGD,0.475794431400941,0.022257800769659844
280,4,proximal point,0.5945570708544391,0.02225780073191573
281,4,SGD,0.5945570708544391,0.02225780075190196
282,4,proximal point,0.7429639507594948,0.022257800699796985
283,4,SGD,0.7429639507594948,0.02225780072059315
284,4,proximal point,0.9284145445194745,0.022257800655734683
285,4,SGD,0.9284145445194745,0.022257800655825485
286,4,proximal point,1.1601553017399715,0.022257800593833678
287,4,SGD,1.1601553017399715,0.02225780053592698
288,4,proximal point,1.4497406703726314,0.02225780050417127
289,4,SGD,1.4497406703726314,0.02225780026926568
290,4,proximal point,1.8116091942004142,0.022257800369196043
291,4,SGD,1.8116091942004142,0.02225779955739472
292,4,proximal point,2.2638034095214477,0.022257800155815424
293,4,SGD,2.2638034095214477,0.02225779688859038
294,4,proximal point,2.8288694346259695,0.02225779459556412
295,4,SGD,2.8288694346259695,0.022257415610528006
296,4,proximal point,3.5349811050301057,0.02225780100745305
297,4,SGD,3.5349811050301057,0.022250259341839593
298,4,proximal point,4.417344703140069,0.022257799443663153
299,4,SGD,4.417344703140069,0.02224112416083044
300,4,proximal point,5.5199543212815705,0.02225779788043623
301,4,SGD,5.5199543212815705,0.021564785036116065
302,4,proximal point,6.8977853793876545,0.02225779357533432
303,4,SGD,6.8977853793876545,0.02101407082081587
304,4,proximal point,8.619535664753032,0.022257778872799526
305,4,SGD,8.619535664753032,0.020777619205573864
306,4,proximal point,10.77105056036769,0.022257712799424453
307,4,SGD,10.77105056036769,0.020649974104145076
308,4,proximal point,13.459603241553642,0.022257291350198556
309,4,SGD,13.459603241553642,0.020577464541012887
310,4,proximal point,16.81924324880869,0.022253113032753718
311,4,SGD,16.81924324880869,0.020561336283385755
312,4,proximal point,21.017480113324872,0.02218880406401787
313,4,SGD,21.017480113324872,0.020578618524369086
314,4,proximal point,26.26363527653333,0.021783350327128692
315,4,SGD,26.26363527653333,0.020666230599355184
316,4,proximal point,32.81927872511474,0.021366857619100153
317,4,SGD,32.81927872511474,0.021374272563763223
318,4,proximal point,41.011270705513,0.0210954760467181
319,4,SGD,41.011270705513,1.434867136529764
320,4,proximal point,51.248058769609315,0.020913536256137417
321,4,SGD,51.248058769609315,1.322865310958311e+18
322,4,proximal point,64.04004271197276,0.020790657724585673
323,4,SGD,64.04004271197276,inf
324,4,proximal point,80.02502278161052,0.020686175268034748
325,4,SGD,80.02502278161052,
326,4,proximal point,100.0,0.0206256672261731
327,4,SGD,100.0,
328,4,proximal point,114.37171936035156,0.02057589082168165
329,4,SGD,114.37171936035156,
330,5,proximal point,0.1,0.02225780098928314
331,5,SGD,0.1,0.022257799954750225
332,5,proximal point,0.1249609141291987,0.02225779835270287
333,5,SGD,0.1249609141291987,0.022257800169686197
334,5,proximal point,0.15615230060004973,0.022257798311141958
335,5,SGD,0.15615230060004973,0.022257800167432288
336,5,proximal point,0.19512934226359632,0.022257798258200654
337,5,SGD,0.19512934226359632,0.022257800159325415
338,5,proximal point,0.24383540982688284,0.022257798190471457
339,5,SGD,0.24383540982688284,0.02225780015261171
340,5,proximal point,0.30469895709035083,0.022257798103286403
341,5,SGD,0.30469895709035083,0.022257800137657616
342,5,proximal point,0.3807546021222372,0.02225779799020256
343,5,SGD,0.3807546021222372,0.022257800115883766
344,5,proximal point,0.475794431400941,0.022257797842155317
345,5,SGD,0.475794431400941,0.022257800073905126
346,5,proximal point,0.5945570708544391,0.022257797646020476
347,5,SGD,0.5945570708544391,0.02225780000493196
348,5,proximal point,0.7429639507594948,0.022257797382254387
349,5,SGD,0.7429639507594948,0.02225779991513864
350,5,proximal point,0.9284145445194745,0.02225779702085255
351,5,SGD,0.9284145445194745,0.022257799725554105
352,5,proximal point,1.1601553017399715,0.022257796513758855
353,5,SGD,1.1601553017399715,0.022257799373239868
354,5,proximal point,1.4497406703726314,0.022257795780477024
355,5,SGD,1.4497406703726314,0.022257798577207905
356,5,proximal point,1.8116091942004142,0.022257794678976
357,5,SGD,1.8116091942004142,0.02225779643614387
358,5,proximal point,2.2638034095214477,0.02225779294194277
359,5,SGD,2.2638034095214477,0.022257788189932036
360,5,proximal point,2.8288694346259695,0.02225780008995028
361,5,SGD,2.8288694346259695,0.022257111110283768
362,5,proximal point,3.5349811050301057,0.022257801082391948
363,5,SGD,3.5349811050301057,0.02225613193366007
364,5,proximal point,4.417344703140069,0.02225778530022734
365,5,SGD,4.417344703140069,0.021959335371084764
366,5,proximal point,5.5199543212815705,0.0222577965581917
367,5,SGD,5.5199543212815705,0.021148041525677765
368,5,proximal point,6.8977853793876545,0.022257790778279465
369,5,SGD,6.8977853793876545,0.02083573613559129
370,5,proximal point,8.619535664753032,0.022257771346233673
371,5,SGD,8.619535664753032,0.020686222586046642
372,5,proximal point,10.77105056036769,0.02225768498714398
373,5,SGD,10.77105056036769,0.020609339683229335
374,5,proximal point,13.459603241553642,0.02225713504641626
375,5,SGD,13.459603241553642,0.02056451486068545
376,5,proximal point,16.81924324880869,0.022251616808820117
377,5,SGD,16.81924324880869,0.02054673382102046
378,5,proximal point,21.017480113324872,0.022167322309091957
379,5,SGD,21.017480113324872,0.020583593849785392
380,5,proximal point,26.26363527653333,0.021726316498392937
381,5,SGD,26.26363527653333,0.02066318662008416
382,5,proximal point,32.81927872511474,0.02132178652217819
383,5,SGD,32.81927872511474,0.02167016261316494
384,5,proximal point,41.011270705513,0.021049551664192406
385,5,SGD,41.011270705513,8.075224612755797
386,5,proximal point,51.248058769609315,0.020876761471358314
387,5,SGD,51.248058769609315,8.311506052685505e+19
388,5,proximal point,64.04004271197276,0.020754265563113126
389,5,SGD,64.04004271197276,inf
390,5,proximal point,80.02502278161052,0.02066442821134286
391,5,SGD,80.02502278161052,
392,5,proximal point,100.0,0.020609552555300892
393,5,SGD,100.0,
394,5,proximal point,114.37171936035156,0.020605567661065687
395,5,SGD,114.37171936035156,
396,6,proximal point,0.1,0.022257801021864924
397,6,SGD,0.1,0.022257795589282797
398,6,proximal point,0.1249609141291987,0.022257799434118677
399,6,SGD,0.1249609141291987,0.022257796615333426
400,6,proximal point,0.15615230060004973,0.022257799410046766
401,6,SGD,0.15615230060004973,0.022257796595806213
402,6,proximal point,0.19512934226359632,0.02225779937937459
403,6,SGD,0.19512934226359632,0.022257796565625904
404,6,proximal point,0.24383540982688284,0.02225779934012617
405,6,SGD,0.24383540982688284,0.022257796527881693
406,6,proximal point,0.30469895709035083,0.022257799289608044
407,6,SGD,0.30469895709035083,0.022257796447743748
408,6,proximal point,0.3807546021222372,0.022257799224073442
409,6,SGD,0.3807546021222372,0.022257796333393344
410,6,proximal point,0.475794431400941,0.022257799138248838
411,6,SGD,0.475794431400941,0.022257796130825774
412,6,proximal point,0.5945570708544391,0.022257799024543494
413,6,SGD,0.5945570708544391,0.022257795825705945
414,6,proximal point,0.7429639507594948,0.022257798871583936
415,6,SGD,0.7429639507594948,0.022257795274813724
416,6,proximal point,0.9284145445194745,0.02225779866193496
417,6,SGD,0.9284145445194745,0.022257794323491543
418,6,proximal point,1.1601553017399715,0.022257798367644487
419,6,SGD,1.1601553017399715,0.02225779241482469
420,6,proximal point,1.4497406703726314,0.022257797941866282
421,6,SGD,1.4497406703726314,0.022257788231894848
422,6,proximal point,1.8116091942004142,0.02225779730187802
423,6,SGD,1.8116091942004142,0.022257776712827037
424,6,proximal point,2.2638034095214477,0.022257796291847022
425,6,SGD,2.2638034095214477,0.022257731810962106
426,6,proximal point,2.8288694346259695,0.022257792901428788
427,6,SGD,2.8288694346259695,0.022257798410895337
428,6,proximal point,3.5349811050301057,0.022257783863711956
429,6,SGD,3.5349811050301057,0.022256959828557864
430,6,proximal point,4.417344703140069,0.022257800998267973
431,6,SGD,4.417344703140069,0.021929739812036587
432,6,proximal point,5.5199543212815705,0.022257800984813593
433,6,SGD,5.5199543212815705,0.021293245561270487
434,6,proximal point,6.8977853793876545,0.02225780093213209
435,6,SGD,6.8977853793876545,0.020858706386623817
436,6,proximal point,8.619535664753032,0.022257800790051935
437,6,SGD,8.619535664753032,0.020691706692212028
438,6,proximal point,10.77105056036769,0.022257800223903768
439,6,SGD,10.77105056036769,0.02061654871990904
440,6,proximal point,13.459603241553642,0.02225779699562311
441,6,SGD,13.459603241553642,0.020569414306816178
442,6,proximal point,16.81924324880869,0.022257767718573875
443,6,SGD,16.81924324880869,0.020555377970950212
444,6,proximal point,21.017480113324872,0.022257284911365895
445,6,SGD,21.017480113324872,0.02057919994298136
446,6,proximal point,26.26363527653333,0.022240890155657157
447,6,SGD,26.26363527653333,0.020676177833202383
448,6,proximal point,32.81927872511474,0.021903973174859342
449,6,SGD,32.81927872511474,0.021592104237300375
450,6,proximal point,41.011270705513,0.02143944572685819
451,6,SGD,41.011270705513,1.9025515933990118
452,6,proximal point,51.248058769609315,0.02112210249355598
453,6,SGD,51.248058769609315,1.7991467427486378e+19
454,6,proximal point,64.04004271197276,0.02090422501870197
455,6,SGD,64.04004271197276,inf
456,6,proximal point,80.02502278161052,0.020750501442122864
457,6,SGD,80.02502278161052,
458,6,proximal point,100.0,0.02064877718632653
459,6,SGD,100.0,
460,6,proximal point,114.37171936035156,0.020576727738987315
461,6,SGD,114.37171936035156,
462,7,proximal point,0.1,0.022257801106113608
463,7,SGD,0.1,0.022257799783378867
464,7,proximal point,0.1249609141291987,0.02225780098927213
465,7,SGD,0.1249609141291987,0.022257799951256676
466,7,proximal point,0.15615230060004973,0.022257800989258628
467,7,SGD,0.15615230060004973,0.022257799945765145
468,7,proximal point,0.19512934226359632,0.022257800989241922
469,7,SGD,0.19512934226359632,0.022257799936784613
470,7,proximal point,0.24383540982688284,0.022257800989220734
471,7,SGD,0.24383540982688284,0.022257799920987056
472,7,proximal point,0.30469895709035083,0.022257800989194193
473,7,SGD,0.30469895709035083,0.022257799896840333
474,7,proximal point,0.3807546021222372,0.022257800989161258
475,7,SGD,0.3807546021222372,0.022257799868547225
476,7,proximal point,0.475794431400941,0.022257800989119603
477,7,SGD,0.475794431400941,0.022257799819386127
478,7,proximal point,0.5945570708544391,0.02225780098906848
479,7,SGD,0.5945570708544391,0.02225779972941582
480,7,proximal point,0.7429639507594948,0.02225780098900421
481,7,SGD,0.7429639507594948,0.022257799589093883
482,7,proximal point,0.9284145445194745,0.022257800988923878
483,7,SGD,0.9284145445194745,0.0222577993320936
484,7,proximal point,1.1601553017399715,0.022257800988823247
485,7,SGD,1.1601553017399715,0.02225779880125483
486,7,proximal point,1.4497406703726314,0.022257800988695956
487,7,SGD,1.4497406703726314,0.02225779764443505
488,7,proximal point,1.8116091942004142,0.02225780098853245
489,7,SGD,1.8116091942004142,0.02225779435109398
490,7,proximal point,2.2638034095214477,0.022257800988314598
491,7,SGD,2.2638034095214477,0.022257781289704872
492,7,proximal point,2.8288694346259695,0.02225780091040996
493,7,SGD,2.8288694346259695,0.022257720025832713
494,7,proximal point,3.5349811050301057,0.02225779137523321
495,7,SGD,3.5349811050301057,0.022255948704867842
496,7,proximal point,4.417344703140069,0.022257799914583917
497,7,SGD,4.417344703140069,0.02224887774432209
498,7,proximal point,5.5199543212815705,0.02225780104702
499,7,SGD,5.5199543212815705,0.021337167869703626
500,7,proximal point,6.8977853793876545,0.022257801004862878
501,7,SGD,6.8977853793876545,0.020925817062772693
502,7,proximal point,8.619535664753032,0.022257800926868656
503,7,SGD,8.619535664753032,0.02072783521803067
504,7,proximal point,10.77105056036769,0.02225780081871142
505,7,SGD,10.77105056036769,0.020627115381760815
506,7,proximal point,13.459603241553642,0.022257800940985614
507,7,SGD,13.459603241553642,0.02057105290060863
508,7,proximal point,16.81924324880869,0.02225779774675455
509,7,SGD,16.81924324880869,0.0205591767235077
510,7,proximal point,21.017480113324872,0.02225732887110045
511,7,SGD,21.017480113324872,0.02055949937158148
512,7,proximal point,26.26363527653333,0.022213068429396146
513,7,SGD,26.26363527653333,0.02068212917508572
514,7,proximal point,32.81927872511474,0.021702506532216212
515,7,SGD,32.81927872511474,0.021396769069232324
516,7,proximal point,41.011270705513,0.0212629887801245
