,repetition,step size,type,algorithm,loss
145,1,0.04175318777561188,Least squares,gradient,278.62169480889673
146,1,0.04175318777561188,Logistic regression,proximal point,0.37927346859754385
147,1,0.04175318777561188,Logistic regression,gradient,0.6593663901388646
148,1,0.05298316851258278,Least squares,proximal point,8.282864235635609
149,1,0.05298316851258278,Least squares,gradient,216.4828893187967
150,1,0.05298316851258278,Logistic regression,proximal point,0.35199032409102793
151,1,0.05298316851258278,Logistic regression,gradient,0.6408538904935122
152,1,0.06723357737064362,Least squares,proximal point,6.927832104782264
153,1,0.06723357737064362,Least squares,gradient,149.8742482937129
154,1,0.06723357737064362,Logistic regression,proximal point,0.3239624235691069
155,1,0.06723357737064362,Logistic regression,gradient,0.612479807767272
156,1,0.08531678467988968,Least squares,proximal point,6.139940718577069
157,1,0.08531678467988968,Least squares,gradient,88.17463878829065
158,1,0.08531678467988968,Logistic regression,proximal point,0.29973398423110986
159,1,0.08531678467988968,Logistic regression,gradient,0.5747528821453453
160,1,0.10826367139816284,Least squares,proximal point,5.58466846106026
161,1,0.10826367139816284,Least squares,gradient,44.76751270775035
162,1,0.10826367139816284,Logistic regression,proximal point,0.2773228280453359
163,1,0.10826367139816284,Logistic regression,gradient,0.5265621433205903
164,1,0.137382373213768,Least squares,proximal point,5.191171448749393
165,1,0.137382373213768,Least squares,gradient,21.74646860249995
166,1,0.137382373213768,Logistic regression,proximal point,0.2567900214824244
167,1,0.137382373213768,Logistic regression,gradient,0.4702788627009839
168,1,0.1743328869342804,Least squares,proximal point,4.911816398904609
169,1,0.1743328869342804,Least squares,gradient,12.66011073335346
170,1,0.1743328869342804,Logistic regression,proximal point,0.23813219123595628
171,1,0.1743328869342804,Logistic regression,gradient,0.41034317777659746
172,1,0.22122162580490112,Least squares,proximal point,4.757654040389229
173,1,0.22122162580490112,Least squares,gradient,10.922258312382374
174,1,0.22122162580490112,Logistic regression,proximal point,0.22312062308036387
175,1,0.22122162580490112,Logistic regression,gradient,0.3574726448899484
176,1,0.28072163462638855,Least squares,proximal point,4.615071822537374
177,1,0.28072163462638855,Least squares,gradient,21.340816450560194
178,1,0.28072163462638855,Logistic regression,proximal point,0.2078653222511344
179,1,0.28072163462638855,Logistic regression,gradient,0.3040238658477421
180,1,0.35622477531433105,Least squares,proximal point,4.476630871698158
181,1,0.35622477531433105,Least squares,gradient,1559.6777127131081
182,1,0.35622477531433105,Logistic regression,proximal point,0.19277175896963936
183,1,0.35622477531433105,Logistic regression,gradient,0.24983320839037323
184,1,0.4520353674888611,Least squares,proximal point,4.368038180365337
185,1,0.4520353674888611,Least squares,gradient,19041.473260316896
186,1,0.4520353674888611,Logistic regression,proximal point,0.18243651681709092
187,1,0.4520353674888611,Logistic regression,gradient,0.2121951152060551
188,1,0.5736152529716492,Least squares,proximal point,4.322596093185081
189,1,0.5736152529716492,Least squares,gradient,32250870172.55637
190,1,0.5736152529716492,Logistic regression,proximal point,0.17199909026308807
191,1,0.5736152529716492,Logistic regression,gradient,0.18177683971736552
192,1,0.7278953790664673,Least squares,proximal point,4.292146758443002
193,1,0.7278953790664673,Least squares,gradient,6.415322960665194e+23
194,1,0.7278953790664673,Logistic regression,proximal point,0.1628832173912543
195,1,0.7278953790664673,Logistic regression,gradient,0.15997190916275938
196,1,0.9236708283424377,Least squares,proximal point,4.2721288616664514
197,1,0.9236708283424377,Least squares,gradient,inf
198,1,0.9236708283424377,Logistic regression,proximal point,0.15500261797873072
199,1,0.9236708283424377,Logistic regression,gradient,0.1505031999551294
200,1,1.1721023321151733,Least squares,proximal point,4.25927039893823
201,1,1.1721023321151733,Least squares,gradient,
202,1,1.1721023321151733,Logistic regression,proximal point,0.14827514043112877
203,1,1.1721023321151733,Logistic regression,gradient,0.16052797140691552
204,1,1.4873521327972412,Least squares,proximal point,4.289611843932626
205,1,1.4873521327972412,Least squares,gradient,
206,1,1.4873521327972412,Logistic regression,proximal point,0.1410925034948804
207,1,1.4873521327972412,Logistic regression,gradient,0.2062131130862437
208,1,1.8873918056488037,Least squares,proximal point,4.284511980417994
209,1,1.8873918056488037,Least squares,gradient,
210,1,1.8873918056488037,Logistic regression,proximal point,0.1364490218770358
211,1,1.8873918056488037,Logistic regression,gradient,0.30121172093917037
212,1,2.395026683807373,Least squares,proximal point,4.243717126315215
213,1,2.395026683807373,Least squares,gradient,
214,1,2.395026683807373,Logistic regression,proximal point,0.1342218144651386
215,1,2.395026683807373,Logistic regression,gradient,0.47552672940885293
216,1,3.0391952991485596,Least squares,proximal point,4.406280347018963
217,1,3.0391952991485596,Least squares,gradient,
218,1,3.0391952991485596,Logistic regression,proximal point,0.1337306410364046
219,1,3.0391952991485596,Logistic regression,gradient,1.1363695701912115
220,1,3.8566203117370605,Least squares,proximal point,4.4052391370477615
221,1,3.8566203117370605,Least squares,gradient,
222,1,3.8566203117370605,Logistic regression,proximal point,0.13184553909024815
223,1,3.8566203117370605,Logistic regression,gradient,1.7860411182479474
224,1,4.8939008712768555,Least squares,proximal point,4.404803033142517
225,1,4.8939008712768555,Least squares,gradient,
226,1,4.8939008712768555,Logistic regression,proximal point,0.13068352337707467
227,1,4.8939008712768555,Logistic regression,gradient,2.898276279228401
228,1,6.210169315338135,Least squares,proximal point,4.404719461711356
229,1,6.210169315338135,Least squares,gradient,
230,1,6.210169315338135,Logistic regression,proximal point,0.13017191642863357
231,1,6.210169315338135,Logistic regression,gradient,4.7124146115276355
232,1,7.880462646484375,Least squares,proximal point,4.404828675422687
233,1,7.880462646484375,Least squares,gradient,
234,1,7.880462646484375,Logistic regression,proximal point,0.13024256750853522
235,1,7.880462646484375,Logistic regression,gradient,7.761439573805561
236,1,10.0,Least squares,proximal point,4.2424219076022815
237,1,10.0,Least squares,gradient,
238,1,10.0,Logistic regression,proximal point,0.12686994109497618
239,1,10.0,Logistic regression,gradient,9.130021730080367
240,2,0.009999999776482582,Least squares,proximal point,57.406791970680445
241,2,0.009999999776482582,Least squares,gradient,421.650391217524
242,2,0.009999999776482582,Logistic regression,proximal point,0.5436140152955184
243,2,0.009999999776482582,Logistic regression,gradient,0.6909907266736031
244,2,0.01268961001187563,Least squares,proximal point,45.1520780061453
245,2,0.01268961001187563,Least squares,gradient,415.0129950729827
246,2,0.01268961001187563,Logistic regression,proximal point,0.5230293352096249
247,2,0.01268961001187563,Logistic regression,gradient,0.6898184116184711
248,2,0.016102619469165802,Least squares,proximal point,29.507571450721098
249,2,0.016102619469165802,Least squares,gradient,403.1661935598862
250,2,0.016102619469165802,Logistic regression,proximal point,0.49004225853807404
251,2,0.016102619469165802,Logistic regression,gradient,0.687717992335558
252,2,0.020433597266674042,Least squares,proximal point,21.30002555707091
253,2,0.020433597266674042,Least squares,gradient,386.10079734668295
254,2,0.020433597266674042,Logistic regression,proximal point,0.4614758164195981
255,2,0.020433597266674042,Logistic regression,gradient,0.6844583357691765
256,2,0.025929437950253487,Least squares,proximal point,15.825414926707527
257,2,0.025929437950253487,Least squares,gradient,360.3460837124784
258,2,0.025929437950253487,Logistic regression,proximal point,0.4323961149062221
259,2,0.025929437950253487,Logistic regression,gradient,0.6792931386649609
260,2,0.03290344402194023,Least squares,proximal point,12.193581891387518
261,2,0.03290344402194023,Least squares,gradient,322.9518269638097
262,2,0.03290344402194023,Logistic regression,proximal point,0.4034263667232829
263,2,0.03290344402194023,Logistic regression,gradient,0.6711876896858215
264,2,0.04175318777561188,Least squares,proximal point,9.76288264453779
265,2,0.04175318777561188,Least squares,gradient,271.8618130976306
266,2,0.04175318777561188,Logistic regression,proximal point,0.37512386115662416
267,2,0.04175318777561188,Logistic regression,gradient,0.6586638506799937
268,2,0.05298316851258278,Least squares,proximal point,8.648408414380404
269,2,0.05298316851258278,Least squares,gradient,214.68427961587753
270,2,0.05298316851258278,Logistic regression,proximal point,0.3543116592009702
271,2,0.05298316851258278,Logistic regression,gradient,0.6405571621090174
272,2,0.06723357737064362,Least squares,proximal point,6.815807187004021
273,2,0.06723357737064362,Least squares,gradient,146.97185733829568
274,2,0.06723357737064362,Logistic regression,proximal point,0.32569173898650583
275,2,0.06723357737064362,Logistic regression,gradient,0.6131421873509884
276,2,0.08531678467988968,Least squares,proximal point,6.035947079835844
277,2,0.08531678467988968,Least squares,gradient,85.60954914240052
278,2,0.08531678467988968,Logistic regression,proximal point,0.3014155589704804
279,2,0.08531678467988968,Logistic regression,gradient,0.5756101867869496
280,2,0.10826367139816284,Least squares,proximal point,5.486609764021154
281,2,0.10826367139816284,Least squares,gradient,42.95804492810438
282,2,0.10826367139816284,Logistic regression,proximal point,0.27895601226649785
283,2,0.10826367139816284,Logistic regression,gradient,0.5275663002360612
284,2,0.137382373213768,Least squares,proximal point,5.097097709092147
285,2,0.137382373213768,Least squares,gradient,20.42404594670345
286,2,0.137382373213768,Logistic regression,proximal point,0.2583739282519928
287,2,0.137382373213768,Logistic regression,gradient,0.471330944708921
288,2,0.1743328869342804,Least squares,proximal point,4.82014151632503
289,2,0.1743328869342804,Least squares,gradient,10.662495076853778
290,2,0.1743328869342804,Logistic regression,proximal point,0.2396638156750314
291,2,0.1743328869342804,Logistic regression,gradient,0.4113429571112385
292,2,0.22122162580490112,Least squares,proximal point,4.729979647945082
293,2,0.22122162580490112,Least squares,gradient,11.580955581112935
294,2,0.22122162580490112,Logistic regression,proximal point,0.2204769206310793
295,2,0.22122162580490112,Logistic regression,gradient,0.35267399445156333
296,2,0.28072163462638855,Least squares,proximal point,4.587863289718344
297,2,0.28072163462638855,Least squares,gradient,26.772401955947117
298,2,0.28072163462638855,Logistic regression,proximal point,0.20547633489440895
299,2,0.28072163462638855,Logistic regression,gradient,0.2990064438066293
300,2,0.35622477531433105,Least squares,proximal point,4.6284685281214
301,2,0.35622477531433105,Least squares,gradient,36.26612817417456
302,2,0.35622477531433105,Logistic regression,proximal point,0.19624036153840171
303,2,0.35622477531433105,Logistic regression,gradient,0.2530810500257358
304,2,0.4520353674888611,Least squares,proximal point,4.708578357502615
305,2,0.4520353674888611,Least squares,gradient,27639.622159469815
306,2,0.4520353674888611,Logistic regression,proximal point,0.18320321973234768
307,2,0.4520353674888611,Logistic regression,gradient,0.2129600751838303
308,2,0.5736152529716492,Least squares,proximal point,4.666305797327856
309,2,0.5736152529716492,Least squares,gradient,19799207920.315224
310,2,0.5736152529716492,Logistic regression,proximal point,0.17274972504735195
311,2,0.5736152529716492,Logistic regression,gradient,0.18085493352700463
312,2,0.7278953790664673,Least squares,proximal point,4.638195001870577
313,2,0.7278953790664673,Least squares,gradient,1.5417095261006707e+28
314,2,0.7278953790664673,Logistic regression,proximal point,0.16362867891554492
315,2,0.7278953790664673,Logistic regression,gradient,0.1579911301452698
316,2,0.9236708283424377,Least squares,proximal point,4.619878885251518
317,2,0.9236708283424377,Least squares,gradient,inf
318,2,0.9236708283424377,Logistic regression,proximal point,0.15574547000770542
319,2,0.9236708283424377,Logistic regression,gradient,0.151689696662722
320,2,1.1721023321151733,Least squares,proximal point,4.608247099604211
321,2,1.1721023321151733,Least squares,gradient,
322,2,1.1721023321151733,Logistic regression,proximal point,0.14900925350336494
323,2,1.1721023321151733,Logistic regression,gradient,0.17725701721384593
324,2,1.4873521327972412,Least squares,proximal point,4.19695771449929
325,2,1.4873521327972412,Least squares,gradient,
326,2,1.4873521327972412,Logistic regression,proximal point,0.14222970222621323
327,2,1.4873521327972412,Logistic regression,gradient,0.27135720481573633
328,2,1.8873918056488037,Least squares,proximal point,4.289345716274786
329,2,1.8873918056488037,Least squares,gradient,
330,2,1.8873918056488037,Logistic regression,proximal point,0.13544518697706576
331,2,1.8873918056488037,Logistic regression,gradient,0.4445416312111839
332,2,2.395026683807373,Least squares,proximal point,4.188191878417927
333,2,2.395026683807373,Least squares,gradient,
334,2,2.395026683807373,Logistic regression,proximal point,0.1338519302125469
335,2,2.395026683807373,Logistic regression,gradient,0.6596688073297788
336,2,3.0391952991485596,Least squares,proximal point,4.393247968014997
337,2,3.0391952991485596,Least squares,gradient,
338,2,3.0391952991485596,Logistic regression,proximal point,0.13097503244104494
339,2,3.0391952991485596,Logistic regression,gradient,1.0648978305241845
340,2,3.8566203117370605,Least squares,proximal point,4.392469722314787
341,2,3.8566203117370605,Least squares,gradient,
342,2,3.8566203117370605,Logistic regression,proximal point,0.12890207015438473
343,2,3.8566203117370605,Logistic regression,gradient,1.7272358635475802
344,2,4.8939008712768555,Least squares,proximal point,4.392208525778819
345,2,4.8939008712768555,Least squares,gradient,
346,2,4.8939008712768555,Logistic regression,proximal point,0.12752949131115132
347,2,4.8939008712768555,Logistic regression,gradient,2.7641392484860474
348,2,6.210169315338135,Least squares,proximal point,4.392243059909994
349,2,6.210169315338135,Least squares,gradient,
350,2,6.210169315338135,Logistic regression,proximal point,0.12678589024912926
351,2,6.210169315338135,Logistic regression,gradient,4.411626829692919
352,2,7.880462646484375,Least squares,proximal point,4.392430865687581
353,2,7.880462646484375,Least squares,gradient,
354,2,7.880462646484375,Logistic regression,proximal point,0.12660460319908257
355,2,7.880462646484375,Logistic regression,gradient,6.986382615034833
356,2,10.0,Least squares,proximal point,4.594448409690337
357,2,10.0,Least squares,gradient,
358,2,10.0,Logistic regression,proximal point,0.1268522437430696
359,2,10.0,Logistic regression,gradient,11.694920820294964
360,3,0.009999999776482582,Least squares,proximal point,57.30634197634152
361,3,0.009999999776482582,Least squares,gradient,421.755379164585
362,3,0.009999999776482582,Logistic regression,proximal point,0.5462115992449803
363,3,0.009999999776482582,Logistic regression,gradient,0.6910684492170811
364,3,0.01268961001187563,Least squares,proximal point,41.29717231365649
365,3,0.01268961001187563,Least squares,gradient,414.4980811412142
366,3,0.01268961001187563,Logistic regression,proximal point,0.5207975686390498
367,3,0.01268961001187563,Logistic regression,gradient,0.6898359927594662
368,3,0.016102619469165802,Least squares,proximal point,30.361321702800108
369,3,0.016102619469165802,Least squares,gradient,404.99337890240247
370,3,0.016102619469165802,Logistic regression,proximal point,0.49283687571207613
371,3,0.016102619469165802,Logistic regression,gradient,0.6876360313713551
372,3,0.020433597266674042,Least squares,proximal point,21.827591668604292
373,3,0.020433597266674042,Least squares,gradient,388.90932134214944
374,3,0.020433597266674042,Logistic regression,proximal point,0.464268559680606
375,3,0.020433597266674042,Logistic regression,gradient,0.684327915662527
376,3,0.025929437950253487,Least squares,proximal point,16.108943771205247
377,3,0.025929437950253487,Least squares,gradient,364.5440221493569
378,3,0.025929437950253487,Logistic regression,proximal point,0.43509214465301255
379,3,0.025929437950253487,Logistic regression,gradient,0.6790870886981487
380,3,0.03290344402194023,Least squares,proximal point,12.3067718879629
381,3,0.03290344402194023,Least squares,gradient,328.954949436745
382,3,0.03290344402194023,Logistic regression,proximal point,0.4059377405810674
383,3,0.03290344402194023,Logistic regression,gradient,0.670865861594677
384,3,0.04175318777561188,Least squares,proximal point,9.766113626447563
