,repetition,step size,batch size,type,algorithm,loss
91,0,1.1721023321151733,8,Least squares,gradient,28870603552145.12
92,0,1.1721023321151733,16,Least squares,proximal point,0.2906728235444054
93,0,1.1721023321151733,16,Least squares,gradient,614461.1411414944
94,0,1.1721023321151733,32,Least squares,proximal point,0.15868417054815218
95,0,1.1721023321151733,32,Least squares,gradient,24.161206807713025
96,0,1.6102620363235474,8,Least squares,proximal point,0.5544409067597939
97,0,1.6102620363235474,8,Least squares,gradient,inf
98,0,1.6102620363235474,16,Least squares,proximal point,0.31991832536538134
99,0,1.6102620363235474,16,Least squares,gradient,2.039456163660667e+20
100,0,1.6102620363235474,32,Least squares,proximal point,0.14135620997752996
101,0,1.6102620363235474,32,Least squares,gradient,322816338.99949497
102,0,2.212216377258301,8,Least squares,proximal point,0.5447674682965269
103,0,2.212216377258301,8,Least squares,gradient,
104,0,2.212216377258301,16,Least squares,proximal point,0.2610613464689348
105,0,2.212216377258301,16,Least squares,gradient,
106,0,2.212216377258301,32,Least squares,proximal point,0.14921206358317285
107,0,2.212216377258301,32,Least squares,gradient,1.6778097201569582e+33
108,0,3.0391952991485596,8,Least squares,proximal point,0.5448882721127942
109,0,3.0391952991485596,8,Least squares,gradient,
110,0,3.0391952991485596,16,Least squares,proximal point,0.3128459020970855
111,0,3.0391952991485596,16,Least squares,gradient,
112,0,3.0391952991485596,32,Least squares,proximal point,0.13085419866610318
113,0,3.0391952991485596,32,Least squares,gradient,
114,0,4.175318717956543,8,Least squares,proximal point,0.539368509689602
115,0,4.175318717956543,8,Least squares,gradient,
116,0,4.175318717956543,16,Least squares,proximal point,0.2553343341682106
117,0,4.175318717956543,16,Least squares,gradient,
118,0,4.175318717956543,32,Least squares,proximal point,0.14317817502412944
119,0,4.175318717956543,32,Least squares,gradient,
120,0,5.736152648925781,8,Least squares,proximal point,0.5419392857779516
121,0,5.736152648925781,8,Least squares,gradient,
122,0,5.736152648925781,16,Least squares,proximal point,0.3105086575191934
123,0,5.736152648925781,16,Least squares,gradient,
124,0,5.736152648925781,32,Least squares,proximal point,0.12647522273194045
125,0,5.736152648925781,32,Least squares,gradient,
126,0,7.880462646484375,8,Least squares,proximal point,0.5379907888256945
127,0,7.880462646484375,8,Least squares,gradient,
128,0,7.880462646484375,16,Least squares,proximal point,0.2535668327501975
129,0,7.880462646484375,16,Least squares,gradient,
130,0,7.880462646484375,32,Least squares,proximal point,0.14088678526571022
131,0,7.880462646484375,32,Least squares,gradient,
132,0,10.826367378234863,8,Least squares,proximal point,0.5412561395336873
133,0,10.826367378234863,8,Least squares,gradient,
134,0,10.826367378234863,16,Least squares,proximal point,0.3099103053068742
135,0,10.826367378234863,16,Least squares,gradient,
136,0,10.826367378234863,32,Least squares,proximal point,0.12487162434589118
137,0,10.826367378234863,32,Least squares,gradient,
138,0,14.873520851135254,8,Least squares,proximal point,0.5378611220901366
139,0,14.873520851135254,8,Least squares,gradient,
140,0,14.873520851135254,16,Least squares,proximal point,0.2531960840907879
141,0,14.873520851135254,16,Least squares,gradient,
142,0,14.873520851135254,32,Least squares,proximal point,0.1401752204509452
143,0,14.873520851135254,32,Least squares,gradient,
144,0,20.433597564697266,8,Least squares,proximal point,0.5412329161157365
145,0,20.433597564697266,8,Least squares,gradient,
146,0,20.433597564697266,16,Least squares,proximal point,0.3098724708417431
147,0,20.433597564697266,16,Least squares,gradient,
148,0,20.433597564697266,32,Least squares,proximal point,0.12441200866140426
149,0,20.433597564697266,32,Least squares,gradient,
150,0,28.072162628173828,8,Least squares,proximal point,0.5380171598134097
151,0,28.072162628173828,8,Least squares,gradient,
152,0,28.072162628173828,16,Least squares,proximal point,0.25323046728810295
153,0,28.072162628173828,16,Least squares,gradient,
154,0,28.072162628173828,32,Least squares,proximal point,0.14004640894941986
155,0,28.072162628173828,32,Least squares,gradient,
156,0,38.56620407104492,8,Least squares,proximal point,0.5413417061052285
157,0,38.56620407104492,8,Least squares,gradient,
158,0,38.56620407104492,16,Least squares,proximal point,0.30996681495960804
159,0,38.56620407104492,16,Least squares,gradient,
160,0,38.56620407104492,32,Least squares,proximal point,0.1243561758697033
161,0,38.56620407104492,32,Least squares,gradient,
162,0,52.98316955566406,8,Least squares,proximal point,0.5381778237373103
163,0,52.98316955566406,8,Least squares,gradient,
164,0,52.98316955566406,16,Least squares,proximal point,0.25333563204063103
165,0,52.98316955566406,16,Least squares,gradient,
166,0,52.98316955566406,32,Least squares,proximal point,0.1400905540412292
167,0,52.98316955566406,32,Least squares,gradient,
168,0,72.78953552246094,8,Least squares,proximal point,0.5414396206290694
169,0,72.78953552246094,8,Least squares,gradient,
170,0,72.78953552246094,16,Least squares,proximal point,0.31005994360181505
171,0,72.78953552246094,16,Least squares,gradient,
172,0,72.78953552246094,32,Least squares,proximal point,0.12440853108428418
173,0,72.78953552246094,32,Least squares,gradient,
174,0,100.0,8,Least squares,proximal point,0.538288154574181
175,0,100.0,8,Least squares,gradient,
176,0,100.0,16,Least squares,proximal point,0.25342158367792145
177,0,100.0,16,Least squares,gradient,
178,0,100.0,32,Least squares,proximal point,0.14016092464532703
179,0,100.0,32,Least squares,gradient,
180,0,0.009999999776482582,8,Logistic regression,proximal point,0.0787080129146576
181,0,0.009999999776482582,8,Logistic regression,gradient,0.08655152108669281
182,0,0.009999999776482582,16,Logistic regression,proximal point,0.04042395188808441
183,0,0.009999999776482582,16,Logistic regression,gradient,0.04329051710367203
184,0,0.009999999776482582,32,Logistic regression,proximal point,0.02067081425189972
185,0,0.009999999776482582,32,Logistic regression,gradient,0.02168458055257797
186,0,0.013738238252699375,8,Logistic regression,proximal point,0.07621533007919788
187,0,0.013738238252699375,8,Logistic regression,gradient,0.08647365254163743
188,0,0.013738238252699375,16,Logistic regression,proximal point,0.0394592508494854
189,0,0.013738238252699375,16,Logistic regression,gradient,0.043262905561923984
190,0,0.013738238252699375,32,Logistic regression,proximal point,0.020307145220041276
191,0,0.013738238252699375,32,Logistic regression,gradient,0.02167472894191742
192,0,0.018873918801546097,8,Logistic regression,proximal point,0.07300833447575569
193,0,0.018873918801546097,8,Logistic regression,gradient,0.08631929689645768
194,0,0.018873918801546097,16,Logistic regression,proximal point,0.038229156446456906
195,0,0.018873918801546097,16,Logistic regression,gradient,0.04320612046718597
