,experiment,dim,num_of_samples,prox_pt_time,sgd_time,sgd_batch_size
766,14,1000,2000,8.168905805999998,0.09585905599999478,16
767,14,1000,2000,8.175201622999964,0.05414694299997791,32
768,14,1000,2500,10.245966980999981,1.597306111000023,1
769,14,1000,2500,10.25442648699999,0.11384759200001326,16
770,14,1000,2500,10.214943342000026,0.06489728999997624,32
771,14,1000,3000,12.515210201000002,1.7902243789999943,1
772,14,1000,3000,13.022725311999977,0.1587146990000292,16
773,14,1000,3000,13.050699959999974,0.10422705299998825,32
774,14,3000,500,1.8798672529999862,0.2500273979999861,1
775,14,3000,500,1.9409801489999836,0.036412104999953954,16
776,14,3000,500,1.9311213629999884,0.014673420000008264,32
777,14,3000,1000,4.376745961999973,0.5810578509999687,1
778,14,3000,1000,4.400116835999995,0.0498950900000068,16
779,14,3000,1000,4.432450116000041,0.02967578299995921,32
780,14,3000,1000,4.499118571999986,0.5958657489999837,1
781,14,3000,1000,4.478982225000038,0.060347740999986854,16
782,14,3000,1000,4.516848879999998,0.032382158000018535,32
783,14,3000,2000,9.457417230999965,1.2731806900000038,1
784,14,3000,2000,9.512774042999979,0.11950713299995641,16
785,14,3000,2000,9.568322615,0.08037844500000801,32
786,14,3000,2500,12.150346433999971,1.345851194999966,1
787,14,3000,2500,12.130996534000019,0.12344508699999324,16
788,14,3000,2500,12.068889487999968,0.08925776099999894,32
789,14,3000,3000,13.967522873000007,1.5858055310000054,1
790,14,3000,3000,13.73008222499999,0.14965573899996798,16
791,14,3000,3000,13.985632376000012,0.08952680100003363,32
792,14,6000,500,2.48156133599997,0.2938957279999954,1
793,14,6000,500,2.5132743830000095,0.025738205999971342,16
794,14,6000,500,2.532593356999996,0.019658117999995284,32
795,14,6000,1000,4.858952424999984,0.6353491010000312,1
796,14,6000,1000,4.9782704410000065,0.06595785700000079,16
797,14,6000,1000,4.94438506900002,0.046300614000017504,32
798,14,6000,1000,4.96702787800001,0.661166999000045,1
799,14,6000,1000,5.16633576800001,0.0742806430000087,16
800,14,6000,1000,5.222387823999952,0.03929534799999601,32
801,14,6000,2000,9.205267141000036,1.0245524219999993,1
802,14,6000,2000,8.769563424000012,0.07983229000001302,16
803,14,6000,2000,8.422712015000002,0.04688809399999627,32
804,14,6000,2500,9.350258580999991,0.889516287000049,1
805,14,6000,2500,9.41656655099996,0.08551801100003331,16
806,14,6000,2500,9.316679464000003,0.06171643799996218,32
807,14,6000,3000,10.414116834000026,1.0209543529999792,1
808,14,6000,3000,10.027678464000019,0.098505025999998,16
809,14,6000,3000,9.643750065999996,0.062481419999983245,32
810,15,1000,500,2.5932847180000067,0.3684707840000101,1
811,15,1000,500,2.621150408999995,0.03581970300001558,16
812,15,1000,500,2.5918695390000153,0.02085073000000648,32
813,15,1000,1000,5.177264677999972,0.7060020910000162,1
814,15,1000,1000,5.206279072000029,0.06743179099998997,16
815,15,1000,1000,5.144099289999986,0.038262689000021055,32
816,15,1000,1000,5.214899661999993,0.6971971399999575,1
817,15,1000,1000,5.182851288999984,0.07235945300004687,16
818,15,1000,1000,5.205761307000046,0.038732863999996425,32
819,15,1000,2000,10.06577799400003,1.2336041460000047,1
820,15,1000,2000,10.10166005000002,0.10223727499999313,16
821,15,1000,2000,10.144400768999958,0.06472451499996623,32
822,15,1000,2500,12.51468525100006,1.5233185109999567,1
823,15,1000,2500,12.430196623999962,0.14694454200002838,16
824,15,1000,2500,12.454308838999964,0.08638652899992394,32
825,15,1000,3000,14.615417921000017,1.8081386019999854,1
826,15,1000,3000,14.584954580000044,0.18660524100005205,16
827,15,1000,3000,14.555536912000036,0.11934086799999477,32
828,15,3000,500,2.656872668999995,0.35488876499999833,1
829,15,3000,500,2.7101556129999835,0.025814518999993652,16
830,15,3000,500,2.6604443780000224,0.023095461999957934,32
831,15,3000,1000,5.039656395999998,0.6633664049999766,1
832,15,3000,1000,4.974922118999984,0.05440758999998252,16
