,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time,sgd_batch_size
281,2,5000,2500,L1-LS,4.409650522000007,0.061258829999999875,16
282,2,5000,2500,L2-LogReg,5.577699543999998,0.059207846000006725,16
283,2,5000,2500,L1-LogReg,3.9780706489999886,0.05997206199999994,16
284,2,5000,2500,L2-LS,1.5456724460000117,0.038438976000009006,32
285,2,5000,2500,L1-LS,4.367728903,0.03853525399999569,32
286,2,5000,2500,L2-LogReg,5.378029799000004,0.038413297000005286,32
287,2,5000,2500,L1-LogReg,4.037925872000002,0.04425611400000662,32
288,2,10000,500,L2-LS,0.4219871189999935,0.1386126130000065,1
289,2,10000,500,L1-LS,0.6398396770000119,0.1404161049999999,1
290,2,10000,500,L2-LogReg,1.635654469000002,0.13952288700001247,1
291,2,10000,500,L1-LogReg,1.1590720789999978,0.1392801989999981,1
292,2,10000,500,L2-LS,0.4160153889999947,0.014017625000008138,16
293,2,10000,500,L1-LS,0.7965739799999909,0.01815637200000708,16
294,2,10000,500,L2-LogReg,1.703676170999998,0.015572136999992381,16
295,2,10000,500,L1-LogReg,1.392550622999991,0.0152435349999962,16
296,2,10000,500,L2-LS,0.5311200889999981,0.011036697999998069,32
297,2,10000,500,L1-LS,0.8746789919999998,0.010898357999991504,32
298,2,10000,500,L2-LogReg,1.574898291999986,0.01139270000000181,32
299,2,10000,500,L1-LogReg,1.3521166199999897,0.012128554000000236,32
300,2,10000,1500,L2-LS,1.8631686440000124,0.4063167989999954,1
301,2,10000,1500,L1-LS,2.8756287180000015,0.4093687800000083,1
302,2,10000,1500,L2-LogReg,5.624202784999994,0.4146614510000006,1
303,2,10000,1500,L1-LogReg,4.588693879999994,0.4026885899999968,1
304,2,10000,1500,L2-LS,1.973155434000006,0.0452823620000089,16
305,2,10000,1500,L1-LS,3.0285494249999942,0.04720025100000669,16
306,2,10000,1500,L2-LogReg,5.988482503,0.07721937499999854,16
307,2,10000,1500,L1-LogReg,4.552010009,0.04593548300000805,16
308,2,10000,1500,L2-LS,1.4867560129999902,0.03171793099998865,32
309,2,10000,1500,L1-LS,2.245121456999996,0.028469404000006193,32
310,2,10000,1500,L2-LogReg,5.012966904999999,0.04287315999999919,32
311,2,10000,1500,L1-LogReg,3.896049151999989,0.026388749999995298,32
312,2,10000,2500,L2-LS,2.5642497080000055,0.648065471999999,1
313,2,10000,2500,L1-LS,3.399522294999997,0.6598137339999965,1
314,2,10000,2500,L2-LogReg,7.137915743000008,0.5391253140000032,1
315,2,10000,2500,L1-LogReg,5.10203180500001,0.6284568060000026,1
316,2,10000,2500,L2-LS,2.8742496819999985,0.07505300299999362,16
317,2,10000,2500,L1-LS,3.9368066990000017,0.0880490380000083,16
318,2,10000,2500,L2-LogReg,8.182180790000004,0.05740464999999517,16
319,2,10000,2500,L1-LogReg,5.784892025999994,0.08001736599999276,16
320,2,10000,2500,L2-LS,2.651239229000012,0.06124791800000651,32
321,2,10000,2500,L1-LS,3.991656070999994,0.05513735299999212,32
322,2,10000,2500,L2-LogReg,8.744157804000011,0.053210976999992,32
323,2,10000,2500,L1-LogReg,6.044136836000007,0.03937479999999027,32
324,3,1000,500,L2-LS,0.27499099900001056,0.11864408900001422,1
325,3,1000,500,L1-LS,0.6544779700000163,0.1132746920000045,1
326,3,1000,500,L2-LogReg,0.8423629109999808,0.12311446399999681,1
327,3,1000,500,L1-LogReg,0.6169095539999887,0.1188119459999939,1
328,3,1000,500,L2-LS,0.27600101900000595,0.01018755499998747,16
329,3,1000,500,L1-LS,0.6527971339999965,0.009640628999989076,16
330,3,1000,500,L2-LogReg,0.8439690179999957,0.010657965000007152,16
331,3,1000,500,L1-LogReg,0.6222349760000156,0.010261385999996264,16
332,3,1000,500,L2-LS,0.27934373799999435,0.0064877180000166845,32
333,3,1000,500,L1-LS,0.6569307890000005,0.006172684999995681,32
334,3,1000,500,L2-LogReg,0.8592471080000053,0.006465378000001465,32
335,3,1000,500,L1-LogReg,0.6188692200000219,0.0062590789999887875,32
336,3,1000,1500,L2-LS,0.8254216489999919,0.3518824459999905,1
337,3,1000,1500,L1-LS,1.9341259459999947,0.3461921780000239,1
338,3,1000,1500,L2-LogReg,2.661016917000012,0.3670384720000186,1
339,3,1000,1500,L1-LogReg,1.8476077279999856,0.3438830750000079,1
340,3,1000,1500,L2-LS,0.8301263349999886,0.028749935000007554,16
341,3,1000,1500,L1-LS,1.9215139270000066,0.030328851000007262,16
342,3,1000,1500,L2-LogReg,2.6518900339999902,0.029875938000003543,16
343,3,1000,1500,L1-LogReg,1.882496881999998,0.029029390999994575,16
344,3,1000,1500,L2-LS,0.8196171099999958,0.017858939999996437,32
345,3,1000,1500,L1-LS,1.869593947999988,0.017947574999993776,32
346,3,1000,1500,L2-LogReg,2.5946032169999853,0.018379243999987693,32
347,3,1000,1500,L1-LogReg,1.8464080679999881,0.01784218500000634,32
348,3,1000,2500,L2-LS,1.3872263970000063,0.5945970150000051,1
349,3,1000,2500,L1-LS,3.1300232119999976,0.5772372240000152,1
350,3,1000,2500,L2-LogReg,4.444276908999996,0.6661937700000067,1
351,3,1000,2500,L1-LogReg,3.511075773000016,0.6207538660000012,1
