,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
140,1,6000,25000,Least squares,0.9032221619999916,0.26707094399998255
141,1,6000,25000,Logistic regression,2.0877975189999916,0.2940336950000244
142,1,6000,30000,Least squares,1.124916369999994,0.34085127100001955
143,1,6000,30000,Logistic regression,2.382523290999984,0.39693566400001146
144,2,1000,5000,Least squares,0.16983602999999903,0.042206034999992426
145,2,1000,5000,Logistic regression,0.3275815869999974,0.043992862999999716
146,2,1000,10000,Least squares,0.32137942700001076,0.08463629100000958
147,2,1000,10000,Logistic regression,0.6721961009999973,0.08688187699999617
148,2,1000,15000,Least squares,0.46602482400001577,0.12507378199998698
149,2,1000,15000,Logistic regression,1.0202289549999932,0.13175124599999322
150,2,1000,20000,Least squares,0.6157988139999873,0.16307387999998468
151,2,1000,20000,Logistic regression,1.3341208530000017,0.17257483299999876
152,2,1000,25000,Least squares,0.7838409249999927,0.21140850099999398
153,2,1000,25000,Logistic regression,1.686879164000004,0.22521112199999038
154,2,1000,30000,Least squares,0.9387720720000061,0.24602232500001264
155,2,1000,30000,Logistic regression,2.0059343009999964,0.2636086009999872
156,2,2000,5000,Least squares,0.16268306199998506,0.04616423099997746
157,2,2000,5000,Logistic regression,0.3370759649999968,0.04948383499998954
158,2,2000,10000,Least squares,0.32109744000001683,0.09849293899998202
159,2,2000,10000,Logistic regression,0.6737676999999849,0.0979689940000128
160,2,2000,15000,Least squares,0.4839674560000162,0.14091337300001783
161,2,2000,15000,Logistic regression,1.0184032759999866,0.14570736600001055
162,2,2000,20000,Least squares,0.6394914500000084,0.18954348399998366
163,2,2000,20000,Logistic regression,1.3653353279999862,0.1937019780000071
164,2,2000,25000,Least squares,0.819309957999991,0.24402283399999192
165,2,2000,25000,Logistic regression,1.7121900989999972,0.2588711100000012
166,2,2000,30000,Least squares,0.9624896839999906,0.28841249700002436
167,2,2000,30000,Logistic regression,2.0253349480000225,0.29052155099998345
168,2,3000,5000,Least squares,0.17181242500001304,0.04976674799999614
169,2,3000,5000,Logistic regression,0.34295130399999607,0.05145219999999995
170,2,3000,10000,Least squares,0.3317178050000109,0.09690077399997676
171,2,3000,10000,Logistic regression,0.6867150439999818,0.09713252199998124
172,2,3000,15000,Least squares,0.5071545380000089,0.1402183579999985
173,2,3000,15000,Logistic regression,1.0394190509999817,0.14833313799999814
174,2,3000,20000,Least squares,0.6671198490000165,0.19121887500000412
175,2,3000,20000,Logistic regression,1.3969381420000104,0.2003543319999892
176,2,3000,25000,Least squares,0.8332710739999811,0.24048177500000634
177,2,3000,25000,Logistic regression,1.7659071669999946,0.2518449829999838
178,2,3000,30000,Least squares,1.016792473999999,0.290220746000017
179,2,3000,30000,Logistic regression,2.0986709839999946,0.29179687199999194
180,2,4000,5000,Least squares,0.17541368700000248,0.048142957000010256
181,2,4000,5000,Logistic regression,0.3478127779999909,0.0504827050000074
182,2,4000,10000,Least squares,0.33963355299999876,0.09658150100000285
183,2,4000,10000,Logistic regression,0.7138390470000218,0.10345722100001353
184,2,4000,15000,Least squares,0.5164814500000148,0.14269362899997873
185,2,4000,15000,Logistic regression,1.0548839230000056,0.15908809500001553
186,2,4000,20000,Least squares,0.6816652029999943,0.19930788499999608
187,2,4000,20000,Logistic regression,1.4211264060000133,0.20530817600001683
188,2,4000,25000,Least squares,0.8500321399999962,0.24738441400000966
