algo,exp,eta_zero,loss
Prox FTRL,3,0.10000000149011612,0.5434655445903178
AdaHedge FTRL,3,0.10000000149011612,0.38911589421091736
Proximal Point,3,0.10000000149011612,0.48079061931942146
FTRL,3,0.14384499192237854,0.5158451987840236
Tight prox FTRL,3,0.14384499192237854,0.5149485467307527
Prox FTRL,3,0.14384499192237854,0.514983693969705
AdaHedge FTRL,3,0.14384499192237854,0.38360968840167525
Proximal Point,3,0.14384499192237854,0.4539726221091482
FTRL,3,0.2069138139486313,0.489771600369364
Tight prox FTRL,3,0.2069138139486313,0.4876023910670377
Prox FTRL,3,0.2069138139486313,0.4876482634944207
AdaHedge FTRL,3,0.2069138139486313,0.37922486093593616
Proximal Point,3,0.2069138139486313,0.43067866987129744
FTRL,3,0.29763513803482056,0.46675753154605626
Tight prox FTRL,3,0.29763513803482056,0.4624496506442061
Prox FTRL,3,0.29763513803482056,0.4625059533710427
AdaHedge FTRL,3,0.29763513803482056,0.37580942695952363
Proximal Point,3,0.29763513803482056,0.4108789010331612
FTRL,3,0.4281332492828369,0.44771973573043944
Tight prox FTRL,3,0.4281332492828369,0.43998077238370126
Prox FTRL,3,0.4281332492828369,0.44004701395754764
AdaHedge FTRL,3,0.4281332492828369,0.37320718710376605
Proximal Point,3,0.4281332492828369,0.3946006910785388
FTRL,3,0.615848183631897,0.43378209076076746
Tight prox FTRL,3,0.615848183631897,0.4204189261996884
Prox FTRL,3,0.615848183631897,0.42049403036284616
AdaHedge FTRL,3,0.615848183631897,0.3712710897072256
Proximal Point,3,0.615848183631897,0.3821765724615651
FTRL,3,0.8858667612075806,0.42703159410879016
Tight prox FTRL,3,0.8858667612075806,0.40400055303289645
Prox FTRL,3,0.8858667612075806,0.40408287023201206
AdaHedge FTRL,3,0.8858667612075806,0.36987236200453566
Proximal Point,3,0.8858667612075806,0.37376359141942905
FTRL,3,1.2742749452590942,0.43092788991704584
Tight prox FTRL,3,1.2742749452590942,0.3909736849592854
Prox FTRL,3,1.2742749452590942,0.39106094299664457
AdaHedge FTRL,3,1.2742749452590942,0.36890487393106264
Proximal Point,3,1.2742749452590942,0.36882572191193963
FTRL,3,1.832980751991272,0.4501484815478325
Tight prox FTRL,3,1.832980751991272,0.3813730182770768
Prox FTRL,3,1.832980751991272,0.38146208010101545
AdaHedge FTRL,3,1.832980751991272,0.3682851326716627
Proximal Point,3,1.832980751991272,0.3662905838280788
FTRL,3,2.636650800704956,0.4901766867339611
Tight prox FTRL,3,2.636650800704956,0.3748639893966017
Prox FTRL,3,2.636650800704956,0.37495194626695194
AdaHedge FTRL,3,2.636650800704956,0.36795217598394037
Proximal Point,3,2.636650800704956,0.36513716453834894
FTRL,3,3.7926902770996094,0.5571574762575329
Tight prox FTRL,3,3.7926902770996094,0.3708307271424429
Prox FTRL,3,3.7926902770996094,0.37091444929475625
AdaHedge FTRL,3,3.7926902770996094,0.3678644927848675
Proximal Point,3,3.7926902770996094,0.36473277820096167
FTRL,3,5.455595016479492,0.6582551916055381
Tight prox FTRL,3,5.455595016479492,0.3685978165468399
Prox FTRL,3,5.455595016479492,0.36867511125078756
AdaHedge FTRL,3,5.455595016479492,0.36799655506281
Proximal Point,3,5.455595016479492,0.36477437959437764
FTRL,3,7.847599506378174,0.8024130128845572
Tight prox FTRL,3,7.847599506378174,0.3676083243064324
Prox FTRL,3,7.847599506378174,0.367677477174996
AdaHedge FTRL,3,7.847599506378174,0.36833625748988746
Proximal Point,3,7.847599506378174,0.36514033343754543
FTRL,3,11.288378715515137,1.0013639132082461
Tight prox FTRL,3,11.288378715515137,0.36749985127115925
Prox FTRL,3,11.288378715515137,0.3675598505029499
AdaHedge FTRL,3,11.288378715515137,0.36888311277375235
Proximal Point,3,11.288378715515137,0.3658181274655701
FTRL,3,16.237768173217773,1.2708963761925698
Tight prox FTRL,3,16.237768173217773,0.3681106849538438
Prox FTRL,3,16.237768173217773,0.3681610307930467
AdaHedge FTRL,3,16.237768173217773,0.3696479463090882
Proximal Point,3,16.237768173217773,0.36688707581104824
FTRL,3,23.357213973999023,1.6325243066325783
Tight prox FTRL,3,23.357213973999023,0.36944388229055064
Prox FTRL,3,23.357213973999023,0.36948437132872314
AdaHedge FTRL,3,23.357213973999023,0.37065045432387544
Proximal Point,3,23.357213973999023,0.3685016879142092
FTRL,3,33.598182678222656,2.1158065936118367
Tight prox FTRL,3,33.598182678222656,0.37161826273733195
Prox FTRL,3,33.598182678222656,0.37164863188962866
AdaHedge FTRL,3,33.598182678222656,0.3719246271355296
Proximal Point,3,33.598182678222656,0.37086799878331067
FTRL,3,48.32930374145508,2.76279589278996
Tight prox FTRL,3,48.32930374145508,0.37483094851439447
Prox FTRL,3,48.32930374145508,0.37485122496345485
AdaHedge FTRL,3,48.32930374145508,0.3735236431687934
Proximal Point,3,48.32930374145508,0.37422666901326745
FTRL,3,69.51927947998047,3.637691576838493
Tight prox FTRL,3,69.51927947998047,0.379331032303308
Prox FTRL,3,69.51927947998047,0.379340875410928
AdaHedge FTRL,3,69.51927947998047,0.3755046605998774
Proximal Point,3,69.51927947998047,0.3788453624299755
FTRL,3,100.0,4.84674372369051
Tight prox FTRL,3,100.0,0.3853785983769899
Prox FTRL,3,100.0,0.3853792003381666
AdaHedge FTRL,3,100.0,0.37792766639686975
Proximal Point,3,100.0,0.3849917059162502
FTRL,4,0.10000000149011612,0.5490587871968746
Tight prox FTRL,4,0.10000000149011612,0.5489091592098401
Prox FTRL,4,0.10000000149011612,0.548935392100696
AdaHedge FTRL,4,0.10000000149011612,0.39365033235391855
Proximal Point,4,0.10000000149011612,0.48788067762203385
FTRL,4,0.14384499192237854,0.5218449393026531
Tight prox FTRL,4,0.14384499192237854,0.5211018361795527
Prox FTRL,4,0.14384499192237854,0.5211381580284847
AdaHedge FTRL,4,0.14384499192237854,0.38748310537479147
Proximal Point,4,0.14384499192237854,0.46178598774744894
FTRL,4,0.2069138139486313,0.495976078286767
Tight prox FTRL,4,0.2069138139486313,0.494077964224827
Prox FTRL,4,0.2069138139486313,0.49412492341837133
AdaHedge FTRL,4,0.2069138139486313,0.3825334423915567
Proximal Point,4,0.2069138139486313,0.4385111190687244
FTRL,4,0.29763513803482056,0.47267313255369664
Tight prox FTRL,4,0.29763513803482056,0.4687825888026844
Prox FTRL,4,0.29763513803482056,0.4688403208007305
AdaHedge FTRL,4,0.29763513803482056,0.3786542374190058
Proximal Point,4,0.29763513803482056,0.4180211821066563
FTRL,4,0.4281332492828369,0.4529409217499197
Tight prox FTRL,4,0.4281332492828369,0.4457279758214702
Prox FTRL,4,0.4281332492828369,0.44579540186259364
AdaHedge FTRL,4,0.4281332492828369,0.3756810952853299
