algo,exp,eta_zero,loss
FTRL,2,0.1128837913274765,0.4237005187468603
Tight prox FTRL,2,0.1128837913274765,0.44044101442547906
Prox FTRL,2,0.1128837913274765,0.44054225291898236
AdaHedge FTRL,2,0.1128837913274765,0.46153220940847745
Proximal Point,2,0.1128837913274765,0.3693668702949497
FTRL,2,0.18329806625843048,0.3828234974704683
Tight prox FTRL,2,0.18329806625843048,0.4014341705496671
Prox FTRL,2,0.18329806625843048,0.40154666295537755
AdaHedge FTRL,2,0.18329806625843048,0.43559507487079874
Proximal Point,2,0.18329806625843048,0.33757766532498373
FTRL,2,0.29763513803482056,0.354727683593519
Tight prox FTRL,2,0.29763513803482056,0.3698312667343827
Prox FTRL,2,0.29763513803482056,0.36994749583723674
AdaHedge FTRL,2,0.29763513803482056,0.4113158731907371
Proximal Point,2,0.29763513803482056,0.31539045948439787
FTRL,2,0.4832930266857147,0.34630636138096454
Tight prox FTRL,2,0.4832930266857147,0.346700135444654
Prox FTRL,2,0.4832930266857147,0.34681306736006534
AdaHedge FTRL,2,0.4832930266857147,0.3894132485905445
Proximal Point,2,0.4832930266857147,0.3021957653550541
FTRL,2,0.7847599983215332,0.3715310341399163
Tight prox FTRL,2,0.7847599983215332,0.3321167598869632
Prox FTRL,2,0.7847599983215332,0.3322210648119461
AdaHedge FTRL,2,0.7847599983215332,0.37043267247882256
Proximal Point,2,0.7847599983215332,0.29659598308283824
FTRL,2,1.2742749452590942,0.46682079388946296
Tight prox FTRL,2,1.2742749452590942,0.3255713172452237
Prox FTRL,2,1.2742749452590942,0.32566370817189993
AdaHedge FTRL,2,1.2742749452590942,0.35474548917425297
Proximal Point,2,1.2742749452590942,0.29719366505539563
FTRL,2,2.0691380500793457,0.7337428668215871
Tight prox FTRL,2,2.0691380500793457,0.3264329248796432
Prox FTRL,2,2.0691380500793457,0.3265115040014665
AdaHedge FTRL,2,2.0691380500793457,0.342569852494047
Proximal Point,2,2.0691380500793457,0.3033795986657012
FTRL,2,3.35981822013855,1.4647330641150476
Tight prox FTRL,2,3.35981822013855,0.33439835852888894
Prox FTRL,2,3.35981822013855,0.3344648272339497
AdaHedge FTRL,2,3.35981822013855,0.3340046763839559
Proximal Point,2,3.35981822013855,0.3154956540163917
FTRL,2,5.455595016479492,3.3349333493113518
Tight prox FTRL,2,5.455595016479492,0.3497050749030187
Prox FTRL,2,5.455595016479492,0.3497605201028929
AdaHedge FTRL,2,5.455595016479492,0.3290730629813461
Proximal Point,2,5.455595016479492,0.33439133166153384
FTRL,2,8.858668327331543,
Tight prox FTRL,2,8.858668327331543,0.372952805432205
Prox FTRL,2,8.858668327331543,0.3729985779085308
AdaHedge FTRL,2,8.858668327331543,0.32777097487222234
Proximal Point,2,8.858668327331543,0.36097393041697956
FTRL,2,14.384498596191406,
Tight prox FTRL,2,14.384498596191406,0.4045852149850786
Prox FTRL,2,14.384498596191406,0.40462280966819575
AdaHedge FTRL,2,14.384498596191406,0.33011180351787334
Proximal Point,2,14.384498596191406,0.3957225282716328
FTRL,2,23.357213973999023,
Tight prox FTRL,2,23.357213973999023,0.4440878610976611
Prox FTRL,2,23.357213973999023,0.44411619491435256
AdaHedge FTRL,2,23.357213973999023,0.33616224395614486
Proximal Point,2,23.357213973999023,0.4379955557808254
FTRL,2,37.926902770996094,
Tight prox FTRL,2,37.926902770996094,0.48918948695919395
Prox FTRL,2,37.926902770996094,0.489202245005069
AdaHedge FTRL,2,37.926902770996094,0.346053018852969
Proximal Point,2,37.926902770996094,0.4853710238552631
FTRL,2,61.58481979370117,
Tight prox FTRL,2,61.58481979370117,0.5357022869873932
Prox FTRL,2,61.58481979370117,0.5356971159489339
AdaHedge FTRL,2,61.58481979370117,0.3599725777543228
Proximal Point,2,61.58481979370117,0.5335605401466501
FTRL,2,100.0,
Tight prox FTRL,2,100.0,0.5786991451730189
Prox FTRL,2,100.0,0.5786772226189874
AdaHedge FTRL,2,100.0,0.37812137822529757
Proximal Point,2,100.0,0.5776283686905825
FTRL,3,0.009999999776482582,0.6337424628585577
Tight prox FTRL,3,0.009999999776482582,0.6348879607026899
Prox FTRL,3,0.009999999776482582,0.634900809773748
AdaHedge FTRL,3,0.009999999776482582,0.5840574957366484
Proximal Point,3,0.009999999776482582,0.5924488129336344
FTRL,3,0.016237767413258553,0.6043141747824847
Tight prox FTRL,3,0.016237767413258553,0.6067878839977398
Prox FTRL,3,0.016237767413258553,0.6068125827672493
AdaHedge FTRL,3,0.016237767413258553,0.5621522648231099
Proximal Point,3,0.016237767413258553,0.5512463102373607
FTRL,3,0.02636650949716568,0.5655325453095138
Tight prox FTRL,3,0.02636650949716568,0.57040113100757
Prox FTRL,3,0.02636650949716568,0.5704436758496277
AdaHedge FTRL,3,0.02636650949716568,0.5379235459856991
Proximal Point,3,0.02636650949716568,0.5033928826849347
FTRL,3,0.04281332343816757,0.5188792118635028
Tight prox FTRL,3,0.04281332343816757,0.5274038730794225
Prox FTRL,3,0.04281332343816757,0.5274687220425799
AdaHedge FTRL,3,0.04281332343816757,0.5119283154031057
Proximal Point,3,0.04281332343816757,0.45321193933671483
FTRL,3,0.0695192813873291,0.4683701393846422
Tight prox FTRL,3,0.0695192813873291,0.4814667856044263
Prox FTRL,3,0.0695192813873291,0.48155515433633966
AdaHedge FTRL,3,0.0695192813873291,0.48494551726991414
Proximal Point,3,0.0695192813873291,0.4056450966064483
FTRL,3,0.1128837913274765,0.4194720630142838
Tight prox FTRL,3,0.1128837913274765,0.43702090149869444
Prox FTRL,3,0.1128837913274765,0.43712968611329417
AdaHedge FTRL,3,0.1128837913274765,0.4578928628803577
Proximal Point,3,0.1128837913274765,0.36471567217904444
FTRL,3,0.18329806625843048,0.37767679866356774
Tight prox FTRL,3,0.18329806625843048,0.39779543267734746
Prox FTRL,3,0.18329806625843048,0.3979185999099015
AdaHedge FTRL,3,0.18329806625843048,0.4317159422625728
Proximal Point,3,0.18329806625843048,0.3327905405750075
FTRL,3,0.29763513803482056,0.34828806720487776
Tight prox FTRL,3,0.29763513803482056,0.3661242884261101
Prox FTRL,3,0.29763513803482056,0.36625459924765214
AdaHedge FTRL,3,0.29763513803482056,0.40728179812798504
Proximal Point,3,0.29763513803482056,0.310555076252759
FTRL,3,0.4832930266857147,0.3380503015127033
Tight prox FTRL,3,0.4832930266857147,0.34300532354573676
Prox FTRL,3,0.4832930266857147,0.34313627703649424
AdaHedge FTRL,3,0.4832930266857147,0.3853090571503682
Proximal Point,3,0.4832930266857147,0.2973555231862549
FTRL,3,0.7847599983215332,0.35955682170391084
Tight prox FTRL,3,0.7847599983215332,0.32845709413518676
Prox FTRL,3,0.7847599983215332,0.3285834047168798
